TIMESTAMP                  	APPDOMAIN                                    	LOGGERNAME                                 	THREADNAME                                	LEVEL    	MESSAGE
2023-03-02 20:33:23,523    	LetMeet                                      	EFCoreLogs-myClusteredCache                	5                                         	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:33:23,667    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:33:25,453    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(5)'
2023-03-02 20:33:37,936    	LetMeet                                      	EFCoreLogs-myClusteredCache                	8                                         	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:33:37,937    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:33:37,938    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(5)'
2023-03-02 20:33:39,079    	LetMeet                                      	EFCoreLogs-myClusteredCache                	12                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:33:39,080    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:33:39,080    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(5)'
2023-03-02 20:33:40,052    	LetMeet                                      	EFCoreLogs-myClusteredCache                	5                                         	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:33:40,053    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:33:40,054    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(5)'
2023-03-02 20:33:40,966    	LetMeet                                      	EFCoreLogs-myClusteredCache                	12                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:33:40,967    	LetMeet                                      	EFCoreLogs-myClusteredCache                	8                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:33:40,968    	LetMeet                                      	EFCoreLogs-myClusteredCache                	8                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(5)'
2023-03-02 20:33:41,732    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:33:41,733    	LetMeet                                      	EFCoreLogs-myClusteredCache                	5                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:33:41,734    	LetMeet                                      	EFCoreLogs-myClusteredCache                	5                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(5)'
2023-03-02 20:33:42,173    	LetMeet                                      	EFCoreLogs-myClusteredCache                	12                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:33:42,174    	LetMeet                                      	EFCoreLogs-myClusteredCache                	9                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:33:42,175    	LetMeet                                      	EFCoreLogs-myClusteredCache                	9                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(5)'
2023-03-02 20:33:42,280    	LetMeet                                      	EFCoreLogs-myClusteredCache                	9                                         	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:33:42,282    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:33:42,283    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(5)'
2023-03-02 20:33:42,495    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:33:42,497    	LetMeet                                      	EFCoreLogs-myClusteredCache                	5                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:33:42,498    	LetMeet                                      	EFCoreLogs-myClusteredCache                	5                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(5)'
2023-03-02 20:33:42,602    	LetMeet                                      	EFCoreLogs-myClusteredCache                	8                                         	INFO     	NCache EF Core Provider	:	Async operation requested.
