TIMESTAMP                  	APPDOMAIN                                    	LOGGERNAME                                 	THREADNAME                                	LEVEL    	MESSAGE
2023-03-02 20:34:34,354    	LetMeet                                      	EFCoreLogs-myClusteredCache                	11                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:34:34,413    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:34:36,161    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(2)'
2023-03-02 20:34:43,976    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:34:43,978    	LetMeet                                      	EFCoreLogs-myClusteredCache                	11                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:34:43,978    	LetMeet                                      	EFCoreLogs-myClusteredCache                	11                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(2).Take(2)'
2023-03-02 20:34:47,020    	LetMeet                                      	EFCoreLogs-myClusteredCache                	22                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:34:47,021    	LetMeet                                      	EFCoreLogs-myClusteredCache                	5                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:34:47,022    	LetMeet                                      	EFCoreLogs-myClusteredCache                	5                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(2)'
2023-03-02 20:34:49,447    	LetMeet                                      	EFCoreLogs-myClusteredCache                	11                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:34:49,449    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:34:49,449    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(2).Take(2)'
2023-03-02 20:34:51,566    	LetMeet                                      	EFCoreLogs-myClusteredCache                	22                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:34:51,568    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:34:51,569    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(2)'
2023-03-02 20:34:53,632    	LetMeet                                      	EFCoreLogs-myClusteredCache                	11                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:34:53,633    	LetMeet                                      	EFCoreLogs-myClusteredCache                	5                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:34:53,634    	LetMeet                                      	EFCoreLogs-myClusteredCache                	5                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(2).Take(2)'
2023-03-02 20:34:55,351    	LetMeet                                      	EFCoreLogs-myClusteredCache                	11                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:34:55,353    	LetMeet                                      	EFCoreLogs-myClusteredCache                	5                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:34:55,354    	LetMeet                                      	EFCoreLogs-myClusteredCache                	5                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(2)'
2023-03-02 20:34:57,065    	LetMeet                                      	EFCoreLogs-myClusteredCache                	12                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:34:57,066    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:34:57,067    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(2).Take(2)'
2023-03-02 20:34:59,487    	LetMeet                                      	EFCoreLogs-myClusteredCache                	11                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:34:59,489    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:34:59,490    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(2)'
